time,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
2021-11-01,70.51,47.9,81.91,48.63,31.36,62.56,42.23,12.82
2021-11-02,69.88,47.9,82.59,48.78,31.25,62.03,42.62,12.82
2021-11-03,69.1,47.65,80.55,48.78,31.3,61.98,42.97,13.16
2021-11-04,69.26,47.5,80.35,48.73,31.7,62.51,42.84,13.05
2021-11-05,69.88,47.5,79.67,49.54,31.87,63.52,42.44,12.93
2021-11-08,71.14,47.45,80.06,49.44,31.98,63.33,42.75,12.86
2021-11-09,70.35,47.45,80.64,48.93,31.81,62.56,42.27,12.91
2021-11-10,70.28,47.45,80.25,49.23,31.13,63.28,42.49,12.91
2021-11-11,70.2,47.4,79.19,48.73,30.4,64.96,42.79,12.68
2021-11-12,69.96,47.25,79.67,49.74,30.74,65.44,42.75,12.89
2021-11-15,69.73,47.5,81.61,49.39,30.18,67.08,42.53,12.91
2021-11-16,69.41,47.4,80.64,49.89,29.28,66.36,42.31,12.93
2021-11-17,69.57,48.15,81.13,49.89,28.94,66.36,42.66,12.95
2021-11-18,68.94,47.25,80.45,48.98,28.12,66.89,42.23,12.77
2021-11-19,67.46,47.4,78.21,48.37,27.02,66.89,42.27,12.77
2021-11-22,67.53,47.4,78.7,48.22,27.39,66.7,43.01,13.18
2021-11-23,67.61,47.4,80.16,49.03,27.9,68.81,43.14,13.05
2021-11-24,68.55,47.05,81.32,49.69,27.39,69.29,45.62,13.95
2021-11-25,68.55,47.0,81.52,50.76,27.73,69.78,46.62,13.95
2021-11-26,69.18,49.25,80.93,50.2,27.61,68.09,45.71,13.68
2021-11-29,68.55,52.65,82.39,49.79,27.25,66.17,44.01,13.45
2021-11-30,68.63,52.5,82.2,49.29,27.56,66.84,43.05,13.09
2021-12-01,68.55,53.0,80.55,49.84,27.59,66.84,43.1,13.32
2021-12-02,68.47,53.6,79.96,49.34,27.36,65.93,43.14,13.14
2021-12-03,67.22,52.75,77.92,48.47,26.85,64.24,42.66,12.77
2021-12-06,66.83,52.8,77.44,47.97,25.76,63.23,41.53,12.41
2021-12-07,67.77,53.35,79.28,48.73,26.8,64.24,42.75,12.71
2021-12-08,67.38,52.95,78.7,48.52,26.57,64.43,42.97,12.82
